
1;24.0;131
1;28.0;118
1;66.0;432
1;30.0;176
1;20.0;79
1;28.0;140
1;22.0;573
1;50.0;257
1;28.0;252
1;22.0;105
1;28.0;157
1;30.0;156
1;20.0;178
1;62.0;598
1;72.0;461
1;34.0;439
1;22.0;90
1;66.0;687
1;14.0;73
1;30.0;346
1;16.0;233
1;20.0;128
1;30.0;225
1;68.0;447
1;64.0;341
1;14.0;119
1;32.0;203
1;66.0;459
1;16.0;112
1;22.0;312
1;28.0;208
1;16.0;85
1;64.0;336
0;56.0;564
1;28.0;199
1;24.0;217
0;14.0;432
1;66.0;238
1;20.0;148
1;32.0;312
1;20.0;147
1;16.0;251
1;16.0;189
1;28.0;228
1;44.0;641
1;60.0;269
1;26.0;174
1;54.0;435
1;66.0;370
1;46.0;237
1;62.0;392
1;64.0;459
1;18.0;92
1;22.0;88
1;28.0;223
1;28.0;294
0;34.0;348
1;30.0;186
0;10.0;266
1;62.0;268
0;8.0;199
0;52.0;423
1;30.0;366
0;8.0;290
1;38.0;296
1;62.0;560
1;42.0;441
0;62.0;643
1;64.0;367
0;10.0;218
1;60.0;359
1;40.0;464
0;12.0;387
1;36.0;103
1;28.0;353
0;10.0;174
1;22.0;102
1;28.0;212
1;38.0;310
0;10.0;257
0;10.0;142
0;28.0;199
1;32.0;223
1;22.0;166
1;20.0;133
1;20.0;114
1;28.0;472
0;8.0;329
0;8.0;282
1;58.0;200
1;62.0;194
1;18.0;136
1;58.0;260
1;24.0;166
0;20.0;213
1;28.0;155
0;62.0;385
0;62.0;630
1;64.0;406
1;32.0;269
1;26.0;274
1;26.0;1129
1;14.0;110
0;36.0;2000
1;22.0;238
0;16.0;191
1;16.0;194
1;30.0;229
1;76.0;589
